model,N,R2,log_dist_nearest_km_coef,log_dist_nearest_km_se,log_dist_nearest_km_p,nearest_reserve_cwb_coef,nearest_reserve_cwb_se,nearest_reserve_cwb_p,interaction_coef,interaction_se,interaction_p
mA,16334,0.0803452885223602,0.41278817584678207,0.25036851176907077,0.09922377192739701,NA,NA,NA,NA,NA,NA
mB,16334,0.08048558837911429,-2.439289229291523,2.0591332536277314,0.23618521688232066,-0.1629462040303142,0.1049810690616813,0.12064610665295761,0.038434789308140656,0.027935956446256925,0.16889690369912844
mC,338,0.21851720193919583,1.6718875086867222,2.446636215112861,0.4948736283605124,0.06672145959361478,0.1318849332044672,0.613262041772277,-0.017272035580497384,0.0338045590710937,0.6097381619623254
mD,337,0.49668255060208255,0.30067608388524253,0.1352848663250882,0.026930418541763375,0.014040513528780172,0.007293942580005083,0.05510217320254334,-0.003190170001677322,0.0018691486965785116,0.08881782079773888
